,application_mode,application_order,course,daytime_evening_attendance,mother_s_occupation,father_s_occupation
930,1,5,9147,1,7,7
931,1,1,9853,1,9,9
932,7,1,9670,1,7,7
933,39,1,9147,1,9,9
934,39,1,9500,1,2,5
935,1,3,171,1,3,3
936,39,1,9500,1,9,9
937,44,1,9991,0,6,6
938,1,1,9773,1,4,10
939,39,1,8014,0,90,7
940,1,3,9773,1,5,5
941,1,1,9238,1,9,4
942,39,1,9238,1,9,9
943,7,1,9085,1,9,10
944,16,1,9556,1,9,7
945,17,2,9254,1,7,7
946,1,1,9147,1,3,3
947,17,2,9773,1,0,2
948,43,1,9670,1,0,0
949,39,1,9147,1,9,2
950,39,1,9991,0,9,9
951,39,1,9991,0,9,9
952,44,1,9003,1,4,8
953,18,5,9500,1,1,10
954,42,1,9119,1,2,9
955,17,4,9670,1,4,90
956,17,1,9773,1,9,9
957,1,3,9773,1,9,4
958,1,1,9147,1,5,5
959,1,3,9670,1,0,0
960,39,1,9670,1,0,0
961,43,1,9147,1,9,9
962,1,1,9130,1,2,4
963,1,2,9119,1,5,5
964,1,1,9773,1,3,7
965,44,1,9003,1,2,8
966,39,1,9991,0,9,5
967,39,1,9003,1,9,10
968,39,1,9991,0,0,0
969,39,1,9119,1,3,5
970,43,1,9670,1,0,0
971,42,1,9147,1,7,3
972,39,2,9119,1,7,7
973,43,1,9853,1,7,7
974,39,1,9991,0,9,3
975,17,3,9119,1,9,3
976,39,1,9500,1,9,8
977,1,1,9085,1,192,144
978,39,1,9991,0,7,5
979,18,1,9003,1,9,6
980,42,1,9119,1,6,6
981,39,1,9991,0,4,4
982,1,1,9773,1,4,5
983,39,1,9991,0,9,3
984,1,1,9147,1,2,10
985,1,1,9500,1,3,3
986,7,1,9003,1,4,6
987,17,1,9070,1,5,0
988,1,1,9238,1,3,4
989,17,2,9085,1,9,1
990,17,1,9500,1,9,2
991,1,1,9130,1,2,2
992,1,1,9773,1,3,3
993,44,2,9238,1,4,9
994,7,1,9238,1,191,192
995,39,1,8014,0,9,8
996,1,3,9500,1,134,135
997,44,1,9085,1,6,4
998,17,1,9254,1,3,3
999,1,3,9070,1,0,0
1000,17,3,9070,1,5,5
1001,1,5,9670,1,9,9
1002,1,1,171,1,2,5
1003,17,2,9147,1,7,7
1004,17,2,9238,1,3,4
1005,17,1,9085,1,5,5
1006,17,6,9500,1,9,6
1007,53,1,9238,1,9,10
1008,1,1,9500,1,5,5
1009,17,3,9670,1,3,3
1010,1,2,9500,1,9,10
1011,17,1,9500,1,4,3
1012,17,1,9147,1,4,5
1013,1,2,9773,1,4,5
1014,18,2,9147,1,191,143
1015,17,1,9254,1,9,8
1016,17,1,9147,1,9,9
1017,51,1,9070,1,3,5
1018,17,4,9670,1,9,99
1019,17,3,9773,1,4,9
1020,1,2,9500,1,4,7
1021,44,1,9147,1,4,9
1022,43,2,9500,1,2,2
1023,17,1,9070,1,9,9
1024,18,2,9853,1,191,171
1025,17,3,9085,1,4,90
1026,1,1,9085,1,4,90
1027,1,5,9254,1,9,9
1028,17,2,9500,1,9,4
1029,1,4,9500,1,9,9
1030,1,2,9147,1,4,3
1031,1,1,9853,1,5,7
1032,1,1,9773,1,8,8
1033,17,1,9085,1,9,9
1034,17,1,9070,1,7,7
1035,1,3,9070,1,9,7
1036,17,1,9238,1,9,7
1037,1,1,9238,1,4,2
1038,42,1,9085,1,4,9
1039,1,1,9853,1,2,5
1040,17,4,9070,1,4,5
1041,18,6,9500,1,9,7
1042,43,1,9670,1,9,6
1043,1,6,9500,1,9,9
1044,1,5,9254,1,4,7
1045,7,1,9991,0,4,9
1046,1,3,9773,1,2,10
1047,1,6,9500,1,4,4
1048,1,1,9500,1,9,6
1049,1,1,9500,1,5,5
1050,1,1,171,1,4,8
1051,17,2,9500,1,4,7
1052,17,3,9500,1,4,5
1053,44,1,9085,1,2,2
1054,1,2,9500,1,9,7
1055,1,1,9500,1,5,7
1056,1,2,9500,1,4,4
1057,1,1,9500,1,1,7
1058,39,1,9670,1,1,5
1059,1,1,9500,1,4,10
1060,53,1,9238,1,5,5
1061,1,1,9070,1,7,7
1062,39,1,8014,0,9,10
1063,1,1,9500,1,4,4
1064,1,1,9853,1,5,10
1065,7,1,8014,0,5,10
1066,1,6,9500,1,5,6
1067,1,1,9147,1,3,3
1068,43,1,9500,1,9,8
1069,1,2,9670,1,9,9
1070,1,1,9500,1,4,4
1071,44,1,9238,1,8,8
1072,1,1,9853,1,5,5
1073,1,1,9085,1,1,90
1074,1,1,9238,1,9,5
1075,1,2,9773,1,4,7
1076,2,1,9853,1,9,9
1077,17,1,9254,1,5,9
1078,43,1,171,1,2,3
1079,1,2,9500,1,4,9
1080,1,1,9070,1,4,0
1081,1,2,9254,1,9,9
1082,51,1,9070,1,2,10
1083,1,1,9853,1,9,4
1084,1,2,9070,1,9,3
1085,17,2,9130,1,2,1
1086,17,1,9670,1,9,5
1087,1,1,9773,1,132,103
1088,17,2,9853,1,4,0
1089,43,1,171,1,5,7
1090,17,1,9130,1,4,5
1091,17,3,9773,1,5,8
1092,17,3,9238,1,0,7
1093,18,4,9773,1,4,4
1094,17,3,9500,1,9,9
1095,1,1,9853,1,9,9
1096,17,1,9670,1,5,8
1097,1,1,9254,1,9,9
1098,1,1,9773,1,5,3
1099,1,2,9500,1,1,9
1100,1,1,9085,1,9,9
1101,17,1,9130,1,9,9
1102,1,2,9853,1,7,5
1103,43,1,9147,1,9,9
1104,1,1,9238,1,0,5
1105,1,4,171,1,9,9
1106,1,2,9500,1,0,0
1107,1,3,9500,1,8,8
1108,51,1,9991,0,5,9
1109,17,4,9085,1,90,7
1110,44,1,9003,1,6,6
1111,1,5,9500,1,6,7
1112,1,2,9500,1,9,7
1113,39,1,9991,0,3,3
1114,1,1,9500,1,9,7
1115,18,1,9500,1,9,7
1116,1,1,9070,1,1,9
1117,1,1,9500,1,9,5
1118,39,2,9556,1,9,9
1119,17,1,9500,1,5,9
1120,39,1,9238,1,9,9
1121,1,3,9670,1,5,5
1122,42,1,9500,1,4,8
1123,44,1,9003,1,9,9
1124,1,1,9773,1,9,9
1125,1,2,9670,1,9,9
1126,39,1,9500,1,2,10
1127,1,1,9238,1,9,9
1128,1,1,9147,1,9,6
1129,17,5,9500,1,5,8
1130,1,3,9500,1,7,7
1131,42,1,9500,1,9,3
1132,1,1,9147,1,194,171
1133,1,1,9500,1,9,5
1134,17,1,9254,1,5,6
1135,44,1,171,1,5,6
1136,1,3,9070,1,9,9
1137,1,1,9254,1,4,9
1138,17,4,9500,1,3,3
1139,1,1,9085,1,4,6
1140,1,6,9500,1,5,6
1141,17,6,9147,1,7,9
1142,1,1,9670,1,2,2
1143,1,1,9853,1,9,5
1144,16,2,9147,1,9,9
1145,1,2,8014,0,0,0
1146,1,1,171,1,4,5
1147,51,1,9991,0,5,7
1148,18,2,9853,1,9,0
1149,1,1,9500,1,4,4
1150,1,1,9070,1,4,5
1151,17,1,171,1,9,1
1152,17,3,9147,1,3,5
1153,1,1,9500,1,9,4
1154,1,3,9500,1,7,7
1155,1,1,9147,1,10,10
1156,17,1,9254,1,9,7
1157,16,4,9254,1,9,7
1158,1,2,9773,1,9,7
1159,1,1,9147,1,3,9
1160,39,1,9991,0,9,9
1161,7,1,9500,1,3,3
1162,17,3,9500,1,9,5
1163,39,1,8014,0,3,4
1164,39,1,9500,1,9,9
1165,39,1,8014,0,5,9
1166,39,2,9147,1,9,9
1167,43,2,9773,1,0,0
1168,17,2,9773,1,2,7
1169,1,1,9670,1,5,7
1170,1,1,9147,1,5,7
1171,17,4,9500,1,4,3
1172,42,1,9119,1,0,0
1173,39,1,9991,0,4,10
1174,18,1,9670,1,9,9
1175,17,4,9254,1,5,5
1176,16,2,9238,1,5,6
1177,1,2,9070,1,9,1
1178,39,1,9500,1,9,9
1179,18,1,9556,1,9,9
1180,39,1,9500,1,9,9
1181,16,1,9085,1,9,9
1182,1,3,9500,1,5,5
1183,53,1,9085,1,9,9
1184,1,2,9500,1,192,192
1185,1,1,9238,1,9,9
1186,7,1,9500,1,9,7
1187,17,1,9147,1,9,7
1188,17,1,9254,1,5,7
1189,1,1,9670,1,4,4
1190,7,2,9130,1,0,0
1191,1,6,9500,1,4,4
1192,1,1,171,1,7,7
1193,7,1,9254,1,3,6
1194,39,1,9003,1,9,9
1195,17,1,9853,1,4,7
1196,7,1,9070,1,9,3
1197,42,1,9853,1,5,5
1198,1,1,9238,1,4,4
1199,7,1,9085,1,5,5
1200,1,1,9130,1,4,4
1201,39,1,8014,0,4,8
1202,39,2,9147,1,9,7
1203,1,6,9238,1,194,163
1204,39,1,9238,1,0,0
1205,7,1,9147,1,1,9
1206,43,2,9500,1,90,0
1207,39,1,9003,1,9,10
1208,7,1,8014,0,0,5
1209,39,1,9003,1,9,9
1210,43,1,9556,1,9,9
1211,17,1,9238,1,9,9
1212,39,1,9500,1,9,4
1213,1,1,9670,1,0,0
1214,1,4,9500,1,7,9
1215,1,1,9500,1,3,7
1216,17,4,9238,1,5,8
1217,44,1,8014,0,7,6
1218,1,2,9500,1,4,10
1219,18,2,9147,1,9,7
1220,1,2,171,1,3,4
1221,1,1,9500,1,9,5
1222,39,1,9991,0,5,3
1223,39,1,8014,0,1,5
1224,1,3,9500,1,7,7
1225,17,1,9238,1,7,7
1226,1,1,9147,1,4,3
1227,17,1,9238,1,5,7
1228,1,5,9500,1,4,8
1229,53,1,9085,1,4,3
1230,1,1,9238,1,5,6
1231,1,1,9238,1,4,4
1232,7,1,9500,1,4,10
1233,17,2,9773,1,4,5
1234,17,6,9500,1,1,1
1235,39,1,9991,0,7,4
1236,1,6,9500,1,4,3
1237,18,1,9119,1,7,7
1238,44,1,9003,1,9,9
1239,1,1,9670,1,4,4
1240,43,1,9991,0,9,9
1241,39,1,9130,1,4,4
1242,39,1,9119,1,4,5
1243,42,1,9085,1,9,1
1244,43,1,9991,0,4,9
1245,39,1,9853,1,5,5
1246,1,1,9238,1,9,9
1247,1,3,9238,1,9,9
1248,53,1,9670,1,3,6
1249,1,2,9853,1,5,3
1250,1,1,9254,1,4,8
1251,43,1,9773,1,9,5
1252,17,3,9670,1,7,8
1253,1,1,9238,1,7,8
1254,43,1,9085,1,5,1
1255,39,1,9130,1,5,5
1256,17,1,9238,1,5,5
1257,1,3,9556,1,7,7
1258,1,4,9500,1,4,7
1259,1,1,9085,1,9,9
1260,1,3,9238,1,3,3
1261,42,1,9119,1,9,3
1262,1,2,9773,1,9,9
1263,39,1,9853,1,7,3
1264,18,2,9500,1,9,5
1265,1,6,9500,1,4,5
1266,1,1,9670,1,9,10
1267,17,2,9500,1,9,7
1268,53,1,9991,0,191,193
1269,39,1,9670,1,6,6
1270,17,1,9773,1,9,10
1271,43,1,9147,1,9,9
1272,1,1,9147,1,9,8
1273,51,1,9853,1,7,8
1274,7,1,9991,0,9,7
1275,17,2,9254,1,4,7
1276,17,5,9670,1,9,7
1277,39,1,9147,1,9,9
1278,39,1,8014,0,4,5
1279,17,1,9238,1,9,9
1280,1,3,9773,1,4,9
1281,1,3,9500,1,7,9
1282,17,5,9254,1,4,7
1283,1,1,9119,1,4,4
1284,1,1,9670,1,5,7
1285,17,2,9853,1,3,3
1286,1,2,9070,1,4,9
1287,1,1,9238,1,9,9
1288,1,1,9773,1,0,0
1289,1,1,9500,1,9,7
1290,17,2,9119,1,9,8
1291,1,1,9500,1,9,9
1292,44,1,9003,1,9,7
1293,17,5,9119,1,2,9
1294,39,1,9003,1,9,3
1295,39,1,8014,0,4,4
1296,39,2,9670,1,0,0
1297,39,1,9500,1,9,6
1298,1,1,9991,0,4,9
1299,18,1,9254,1,5,5
1300,17,1,9147,1,3,4
1301,1,5,9254,1,3,9
1302,44,1,171,1,2,2
1303,51,1,9670,1,1,10
1304,1,2,9773,1,7,7
1305,1,3,9773,1,9,9
1306,53,1,9003,1,8,8
1307,17,3,9147,1,5,7
1308,18,1,9500,1,5,7
1309,1,3,9500,1,9,9
1310,53,1,9147,1,143,172
1311,1,1,9085,1,9,6
1312,1,1,9773,1,9,5
1313,1,4,9500,1,2,3
1314,1,1,9670,1,5,7
1315,17,2,9500,1,9,7
1316,17,2,9085,1,4,9
1317,1,5,9773,1,0,8
1318,43,1,9254,1,5,7
1319,17,2,9853,1,4,8
1320,1,5,9238,1,9,3
1321,1,2,9853,1,194,103
1322,1,5,9500,1,9,9
1323,17,6,9556,1,5,5
1324,17,3,9147,1,2,10
1325,1,2,9500,1,9,9
1326,1,1,9085,1,4,9
1327,17,1,9254,1,0,7
1328,1,4,9500,1,3,3
1329,1,1,9085,1,2,9
1330,17,3,9556,1,9,7
1331,1,1,9500,1,3,10
1332,1,1,9130,1,1,3
1333,1,1,9238,1,7,7
1334,1,1,9500,1,5,5
1335,17,2,9853,1,2,10
1336,39,1,9500,1,3,7
1337,17,1,9147,1,9,6
1338,43,1,9130,1,9,9
1339,18,1,9500,1,7,8
1340,44,1,9238,1,6,9
1341,1,5,9773,1,9,9
1342,17,1,9085,1,7,7
1343,1,1,9853,1,9,7
1344,17,1,9070,1,4,8
1345,1,3,9085,1,4,4
1346,17,4,9773,1,3,3
1347,1,3,9500,1,7,7
1348,53,1,9085,1,8,9
1349,39,1,9085,1,4,9
1350,1,1,171,1,3,3
1351,1,3,9500,1,9,9
1352,1,2,9070,1,4,3
1353,17,2,9853,1,4,9
1354,1,1,9238,1,5,8
1355,1,1,9085,1,4,5
1356,39,1,9773,1,0,0
1357,39,1,9254,1,9,5
1358,17,1,171,1,4,10
1359,42,1,9119,1,9,9
1360,1,4,9119,1,123,152
1361,1,4,9500,1,9,9
1362,39,1,9070,1,5,5
1363,44,1,171,1,9,9
1364,1,1,9500,1,4,9
1365,39,1,9670,1,3,3
1366,51,1,9119,1,3,5
1367,1,6,9500,1,9,9
1368,1,1,9147,1,7,3
1369,53,1,9670,1,9,9
1370,39,1,8014,0,4,8
1371,1,1,9500,1,9,9
1372,1,1,9238,1,5,9
1373,1,1,9773,1,3,5
1374,7,1,9556,1,4,8
1375,1,1,171,1,5,1
1376,17,1,9147,1,9,3
1377,1,1,171,1,7,7
1378,1,5,9070,1,5,5
1379,51,1,9238,1,5,9
1380,18,1,9556,1,2,8
1381,39,1,9500,1,9,9
1382,7,1,9003,1,4,1
1383,1,1,9500,1,9,8
1384,39,1,9070,1,5,3
1385,1,1,9130,1,1,9
1386,43,1,9130,1,3,2
1387,1,3,9147,1,9,5
1388,17,6,9119,1,4,90
1389,1,2,9085,1,3,3
1390,1,2,9500,1,2,7
1391,1,2,9254,1,3,10
1392,1,1,171,1,9,9
1393,17,1,9238,1,4,9
1394,17,5,9773,1,191,175
1395,17,1,9254,1,9,3
1396,1,1,9130,1,3,9
1397,44,1,9070,1,3,9
1398,39,1,9556,1,9,9
1399,17,1,9853,1,9,8
1400,1,2,171,1,3,3
1401,1,2,9254,1,9,7
1402,1,1,9085,1,1,90
1403,17,5,9500,1,9,7
1404,44,1,9147,1,2,8
1405,15,1,9119,1,5,8
1406,18,2,9500,1,5,5
1407,1,2,9773,1,9,9
1408,17,1,9254,1,5,0
1409,15,1,9147,1,9,1
1410,39,1,8014,0,9,5
1411,16,2,9238,1,9,7
1412,43,1,9670,1,9,9
1413,1,2,9773,1,9,9
1414,18,3,9500,1,4,7
1415,1,2,9085,1,90,90
1416,17,5,9085,1,90,7
1417,17,1,9670,1,5,5
1418,17,4,9147,1,5,7
1419,39,1,9130,1,9,10
1420,17,4,9853,1,9,5
1421,1,3,9147,1,5,7
1422,17,3,9238,1,9,7
1423,1,1,9254,1,6,6
1424,1,2,9130,1,9,9
1425,1,1,171,1,5,5
1426,44,1,9085,1,2,6
1427,1,1,9254,1,1,1
1428,17,1,9238,1,9,9
1429,17,1,9773,1,9,7
1430,1,3,9500,1,5,7
1431,1,5,9853,1,4,9
1432,1,3,9254,1,7,7
1433,16,3,9070,1,4,8
1434,1,2,9500,1,9,9
1435,15,1,9147,1,3,4
1436,15,1,9119,1,143,152
1437,39,1,8014,0,9,9
1438,18,1,9670,1,9,9
1439,1,1,9085,1,9,6
1440,1,5,9670,1,7,3
1441,1,1,171,1,9,9
1442,17,6,9254,1,4,3
1443,17,1,9003,1,9,5
1444,43,1,9991,0,6,6
1445,1,2,9254,1,4,3
1446,1,1,171,1,3,5
1447,17,3,9119,1,4,3
1448,44,1,9003,1,9,4
1449,44,1,9070,1,4,4
1450,17,1,9130,1,4,1
1451,1,1,9003,1,9,9
1452,1,1,171,1,4,1
1453,18,2,9238,1,5,7
1454,1,1,9119,1,2,3
1455,1,2,9147,1,4,9
1456,1,1,9147,1,4,5
1457,1,6,9500,1,3,7
1458,1,1,9670,1,143,163
1459,18,1,9147,1,7,7
1460,39,1,9670,1,7,7
1461,44,1,9003,1,9,8
1462,1,3,9670,1,2,8
1463,51,1,9119,1,4,4
1464,17,2,9254,1,4,3
1465,43,4,8014,0,0,0
1466,17,2,9119,1,9,9
1467,17,5,9119,1,4,4
1468,1,1,9773,1,9,7
1469,1,3,9254,1,4,3
1470,17,1,9147,1,3,7
1471,44,1,9003,1,7,1
1472,17,1,9773,1,4,9
1473,17,1,9773,1,0,4
1474,17,1,9119,1,9,10
1475,17,1,9130,1,4,7
1476,39,1,9991,0,9,5
1477,51,1,171,1,3,3
1478,39,1,9003,1,4,4
1479,1,1,9085,1,4,9
1480,53,1,9085,1,9,4
1481,39,1,9773,1,9,1
1482,1,2,9670,1,2,6
1483,17,1,9254,1,9,9
1484,39,1,9500,1,9,7
1485,18,2,9238,1,4,3
1486,53,1,9085,1,4,2
1487,17,1,9670,1,4,9
1488,43,1,8014,0,8,5
1489,17,6,9119,1,4,0
1490,39,1,9003,1,9,9
1491,1,1,9773,1,9,9
1492,44,1,9130,1,2,2
1493,39,1,9670,1,5,8
1494,39,1,9500,1,2,2
1495,7,1,9119,1,2,5
1496,43,1,9556,1,5,5
1497,17,2,9670,1,4,10
1498,39,1,9003,1,9,8
1499,44,1,9003,1,4,4
1500,1,1,9070,1,3,3
1501,1,1,9670,1,90,90
1502,39,1,9991,0,5,3
1503,39,1,9500,1,191,183
1504,39,1,9500,1,9,7
1505,17,5,9773,1,7,7
1506,39,1,9991,0,9,9
1507,1,1,171,1,7,7
1508,43,1,9070,1,7,7
1509,43,1,9500,1,6,6
1510,17,1,9254,1,4,8
1511,39,1,9991,0,9,10
1512,17,1,171,1,5,9
1513,10,1,9254,1,9,9
1514,17,1,9500,1,9,9
1515,1,1,171,1,9,7
1516,7,1,9500,1,4,1
1517,17,1,171,1,4,1
1518,1,1,171,1,9,8
1519,39,1,9147,1,9,4
1520,39,1,9991,0,9,9
1521,39,1,9991,0,9,9
1522,17,1,9085,1,9,4
1523,1,1,9670,1,7,4
1524,1,1,171,1,2,2
1525,1,1,9500,1,4,3
1526,17,1,9773,1,5,1
1527,39,1,9119,1,9,9
1528,15,1,9254,1,9,7
1529,10,1,9500,1,2,9
1530,39,1,9003,1,9,4
1531,17,3,9500,1,9,5
1532,15,1,9773,1,9,6
1533,7,1,9119,1,2,7
1534,1,1,9085,1,9,9
1535,44,1,9991,0,9,9
1536,39,1,9500,1,9,8
1537,1,1,9238,1,9,10
1538,18,5,9853,1,7,7
1539,39,1,9119,1,4,7
1540,17,1,9147,1,3,5
1541,39,1,9853,1,7,8
1542,17,5,8014,0,90,90
1543,7,1,9130,1,4,9
1544,39,1,8014,0,0,0
1545,17,1,9070,1,4,9
1546,18,1,9773,1,9,5
1547,39,1,9991,0,0,0
1548,7,1,9254,1,9,9
1549,39,1,9500,1,9,9
1550,43,1,8014,0,0,0
1551,43,1,9147,1,9,9
1552,7,1,9147,1,9,9
1553,1,2,9085,1,5,5
1554,39,1,8014,0,9,9
1555,1,2,9500,1,2,7
1556,1,1,9119,1,9,5
1557,17,1,9147,1,6,6
1558,16,1,171,1,9,9
1559,1,3,9500,1,2,10
1560,15,1,33,1,2,4
1561,17,1,9130,1,5,7
1562,1,4,9147,1,3,4
1563,44,1,9130,1,5,5
1564,17,4,9085,1,3,9
1565,17,6,9238,1,7,7
1566,17,5,9500,1,9,5
1567,1,2,9147,1,4,4
1568,15,1,9556,1,9,4
1569,43,1,9130,1,9,6
1570,1,1,8014,0,9,9
1571,39,1,9003,1,9,10
1572,39,1,9991,0,90,90
1573,39,1,9003,1,9,7
1574,7,1,9991,0,6,6
1575,1,4,171,1,4,4
1576,39,2,9670,1,9,9
1577,39,1,9991,0,5,5
1578,1,3,9085,1,9,8
1579,16,1,171,1,9,9
1580,1,1,9773,1,9,7
1581,16,2,9070,1,4,2
1582,43,1,9991,0,3,9
1583,17,1,9853,1,9,9
1584,1,1,9773,1,9,9
1585,1,1,171,1,9,8
1586,1,1,9147,1,7,7
1587,17,2,9119,1,3,3
1588,17,1,9254,1,5,4
1589,17,2,8014,0,4,99
1590,44,1,9003,1,4,7
1591,17,4,171,1,2,10
1592,1,4,9147,1,5,5
1593,1,3,171,1,9,3
1594,17,1,9147,1,9,9
1595,1,1,9670,1,4,9
1596,1,2,9500,1,9,9
1597,1,1,9773,1,9,9
1598,17,1,9238,1,7,7
1599,17,1,9773,1,9,9
1600,1,4,171,1,0,3
1601,17,6,9670,1,4,10
1602,1,2,9254,1,4,1
1603,44,1,9003,1,6,6
1604,39,1,9003,1,9,8
1605,53,1,9003,1,9,9
1606,1,5,9254,1,3,9
1607,1,6,9500,1,2,1
1608,17,1,9773,1,9,10
1609,1,2,9070,1,7,7
1610,1,1,9147,1,4,7
1611,16,5,9085,1,8,8
1612,17,2,9500,1,5,5
1613,39,1,8014,0,0,0
1614,39,1,8014,0,5,3
1615,39,1,9085,1,9,5
1616,1,1,9085,1,6,9
1617,39,1,8014,0,7,4
1618,1,2,9773,1,9,9
1619,42,1,9670,1,9,10
1620,18,1,9670,1,9,7
1621,1,1,9085,1,9,9
1622,39,1,9556,1,9,4
1623,39,1,9556,1,9,9
1624,42,1,9853,1,4,7
1625,39,1,9991,0,7,10
1626,1,1,9085,1,9,4
1627,44,1,9991,0,5,5
1628,1,1,9670,1,4,0
1629,39,1,9119,1,9,8
1630,39,1,9130,1,9,9
1631,39,1,9773,1,9,4
1632,39,1,9991,0,9,9
1633,43,1,8014,0,132,122
1634,39,1,9991,0,9,10
1635,17,1,9670,1,7,5
1636,39,1,9130,1,6,6
1637,1,1,9500,1,4,4
1638,39,1,9670,1,5,3
1639,1,1,9070,1,2,3
1640,1,4,9500,1,4,3
1641,1,2,9070,1,9,7
1642,17,5,9500,1,4,4
1643,17,2,8014,0,9,9
1644,17,4,9254,1,3,3
1645,1,2,171,1,4,7
1646,1,2,171,1,3,3
1647,43,1,9500,1,4,7
1648,1,5,9500,1,9,7
1649,1,1,9500,1,4,9
1650,1,1,9500,1,9,9
1651,1,3,9500,1,4,7
1652,7,1,9991,0,3,3
1653,1,3,9556,1,3,10
1654,1,2,9853,1,2,9
1655,1,2,9085,1,9,3
1656,1,1,9147,1,1,4
1657,1,2,9085,1,9,8
1658,43,3,171,1,9,9
1659,1,1,171,1,1,2
1660,53,1,9085,1,4,6
1661,1,2,9085,1,5,2
1662,1,1,9500,1,4,4
1663,17,1,9500,1,9,7
1664,1,1,9085,1,9,1
1665,1,1,9773,1,4,4
1666,17,1,9238,1,5,6
1667,1,4,9500,1,1,5
1668,44,1,9070,1,4,6
1669,17,1,8014,0,5,8
1670,39,1,9991,0,4,2
1671,1,1,9085,1,4,2
1672,44,1,9130,1,4,1
1673,39,1,9500,1,4,4
1674,17,4,9500,1,4,9
1675,17,3,9254,1,4,4
1676,17,1,9556,1,1,7
1677,39,1,9991,0,3,3
1678,17,1,9085,1,4,90
1679,39,1,9500,1,9,9
1680,1,1,9119,1,9,7
1681,1,1,9773,1,4,4
1682,1,2,9670,1,9,4
1683,1,1,9670,1,3,3
1684,17,3,9070,1,5,5
1685,1,5,9070,1,2,2
1686,17,3,9085,1,9,9
1687,7,1,9556,1,2,2
1688,1,1,171,1,9,9
1689,43,4,171,1,9,9
1690,7,1,9119,1,0,0
1691,18,3,9070,1,4,7
1692,1,1,9500,1,9,9
1693,1,1,9147,1,3,10
1694,39,1,9119,1,3,10
1695,17,1,9670,1,9,8
1696,17,1,9070,1,4,5
1697,39,1,9085,1,0,2
1698,1,1,9500,1,5,5
1699,7,1,9500,1,90,90
1700,1,1,9500,1,9,9
1701,1,1,9773,1,5,5
1702,17,6,9773,1,0,0
1703,1,1,9238,1,7,7
1704,39,1,9670,1,4,9
1705,1,1,9119,1,4,1
1706,1,5,171,1,4,4
1707,1,4,9147,1,8,9
1708,39,1,9556,1,7,10
1709,1,3,9500,1,9,5
1710,44,1,9991,0,9,9
1711,1,3,9500,1,5,4
1712,42,1,9500,1,3,10
1713,44,1,9085,1,9,4
1714,17,4,9238,1,9,9
1715,17,2,9500,1,4,10
1716,1,4,9500,1,7,7
1717,39,1,9500,1,4,4
1718,39,1,9119,1,7,7
1719,39,1,9991,0,2,4
1720,17,1,9085,1,9,9
1721,1,2,9254,1,9,9
1722,51,1,9085,1,2,8
1723,1,1,9773,1,9,9
1724,1,1,171,1,3,10
1725,39,1,9991,0,5,1
1726,43,1,9238,1,99,99
1727,44,1,9130,1,4,9
1728,17,1,9254,1,4,9
1729,43,1,9991,0,9,9
1730,1,3,9147,1,5,10
1731,1,1,9130,1,90,8
1732,39,1,9119,1,9,10
1733,39,1,8014,0,9,10
1734,1,1,9147,1,9,9
1735,44,1,9070,1,3,8
1736,1,6,9500,1,2,1
1737,1,5,9500,1,9,10
1738,39,1,9003,1,5,9
1739,39,1,9070,1,9,10
1740,18,1,9130,1,5,2
1741,17,4,9254,1,4,2
1742,1,1,9130,1,2,9
1743,43,1,9773,1,9,6
1744,39,1,9670,1,90,90
1745,44,1,9085,1,4,4
1746,43,1,9130,1,9,4
1747,39,1,9003,1,9,6
1748,39,1,9003,1,9,4
1749,43,1,9070,1,7,7
1750,44,1,9003,1,2,6
1751,1,1,171,1,9,9
1752,17,2,9070,1,3,3
1753,44,1,9119,1,5,2
1754,17,5,9119,1,2,9
1755,1,1,9119,1,3,3
1756,17,1,171,1,3,3
1757,44,1,9130,1,4,8
1758,1,4,9670,1,2,5
1759,1,4,9500,1,4,7
1760,1,2,9238,1,191,171
1761,17,1,171,1,5,7
1762,39,1,9773,1,1,3
1763,15,1,9147,1,6,4
1764,53,1,9147,1,6,6
1765,1,1,9147,1,9,9
1766,39,1,9003,1,9,9
1767,44,1,9254,1,9,3
1768,7,1,9500,1,2,6
1769,51,1,9147,1,2,2
1770,16,3,9853,1,9,5
1771,39,1,9147,1,9,8
1772,1,2,9773,1,9,9
1773,42,1,9003,1,4,4
1774,17,6,9254,1,4,5
1775,1,3,9773,1,0,0
1776,1,1,9254,1,4,7
1777,39,1,9991,0,9,9
1778,1,1,9147,1,7,7
1779,1,1,9500,1,9,9
1780,1,1,9670,1,9,10
1781,1,5,9070,1,3,3
1782,39,1,9500,1,3,7
1783,17,3,9147,1,123,171
1784,7,2,9500,1,9,9
1785,43,1,9147,1,7,7
1786,39,1,9238,1,9,4
1787,7,1,9991,0,9,9
1788,1,1,9070,1,0,1
1789,17,3,9254,1,4,4
1790,39,1,9500,1,9,4
1791,1,4,9147,1,3,10
1792,39,1,9991,0,2,2
1793,17,1,9085,1,4,7
1794,43,1,9500,1,173,183
1795,1,3,9500,1,7,9
1796,1,1,9238,1,9,7
1797,1,3,9085,1,9,9
1798,39,1,9003,1,4,9
1799,17,3,9254,1,9,3
1800,1,3,9500,1,4,1
1801,43,2,8014,0,0,0
1802,1,2,9147,1,9,9
1803,43,2,9670,1,4,4
1804,51,1,9147,1,9,5
1805,43,1,9991,0,2,9
1806,1,3,9119,1,3,5
1807,17,1,9670,1,1,1
1808,1,5,9119,1,4,7
